sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report
1079,4L PS from near Hemmige Village Periyapatna - Hassan Road Jn. to near Hunsur - KR Nagar Jn section from Km. 144.900 to Km. 169.000 of NH-275 Pkg. III,NHAI,618870,Karnataka,2023-02-01,2025-04-01,2027-04-01,2028-01-01,883.62,1726.65,447.11,27.8,111,July 2026,FlashReport_July_2026.pdf
1080,4L PS from Near Guddehosur to Start of Kushalnagara Bypass to near Hemmige Village Periyapatna - Hassan Road Jn from Km. 122.200 to Km. 144.900 of NH-275 Pkg. II,NHAI,618871,Karnataka,2023-02-01,2025-12-01,2027-12-01,2028-05-01,909.86,896.42,325.85,14.53,111,July 2026,FlashReport_July_2026.pdf
1081,4L PS from near Hunsur - KR Nagar Junction to near Yalachahalli village KR Nagara - Yelawala Road Junction fcrom Km 169.000 to Km 195.550 of NH-275 Pkg-IV,NHAI,618872,Karnataka,2023-02-01,2025-04-01,2027-04-01,2028-03-01,1062.76,952.03,272.55,19.58,111,July 2026,FlashReport_July_2026.pdf
1082,4L PS from near Yalachahalli village KR Nagara - Yelawala Road junction to Srirangapatna Bypass Near Paschima Vahini from km 195.550 to Km 214.535 of NH- 275 Pkg-V,NHAI,618873,Karnataka,2023-01-01,2025-04-01,2027-04-01,2028-04-01,1272.71,1203.2,462.59,17.36,111,July 2026,FlashReport_July_2026.pdf
1083,4L of Bettadahalli- Shivamogga section from Km.170.415 to km. 226.750 of NH-206 Tumkur- Shivamogga Pkg-IV,NHAI,618887,Karnataka,2019-01-01,2021-10-01,2023-10-01,2027-03-01,2082.98,2545.11,1645.24,84.25,111,July 2026,FlashReport_July_2026.pdf
1084,4L of Sannur to Bikarnakatte section from Km 691.350 to Km 736.362 of NH-169 Karkala - Mangalore Package-III,NHAI,618896,Karnataka,2021-03-01,2022-10-01,2024-10-01,2027-04-01,1386.41,2038.71,1251.68,76.1,111,July 2026,FlashReport_July_2026.pdf
1085,4L Expressway from Km 26.400 to km 53.500 of Malur to Bangarpet section of Bangalore-Chennai Expressway Phase-I Package-II,NHAI,619065,Karnataka,2020-12-01,2021-09-01,2023-09-01,2026-09-01,1745.0,1729.63,1103.49,99.8,111,July 2026,FlashReport_July_2026.pdf
1086,Tumkur - Nelamangala 6L,NHAI,619071,Karnataka,2021-03-01,2022-08-01,2025-08-01,2027-03-01,2032.15,1664.2,1086.24,61.36,111,July 2026,FlashReport_July_2026.pdf
1087,Bangalore/TN border to Hoskote,NHAI,619072,Karnataka,2022-02-01,2023-02-01,2025-02-01,2026-11-01,1181.68,1297.76,1153.14,94.89,111,July 2026,FlashReport_July_2026.pdf
1088,4L of 42.000 to km 80.00 of Dodaballapur Bypass to Hoskote section of NH-648 Old NH-207 [Bangalore Ring Road Pkg 2],NHAI,619073,Karnataka,2020-02-01,2021-02-01,2023-02-01,2026-09-01,1317.74,1846.52,1367.2,99.2,112,July 2026,FlashReport_July_2026.pdf
1089,Goa / Karnataka Km.93.700 to Kundapur Km.283.30,NHAI,619096,Karnataka,2012-07-01,2014-03-01,2016-08-01,2026-10-01,1644.92,1990.99,1849.51,97.94,112,July 2026,FlashReport_July_2026.pdf
1090,4 Lane with PS from Des. Ch 182.300 to Des. Ch. 228.500 of Belgaum-Hungund- Raichur Section of NH 748 A Package-5,NHAI,619106,Karnataka,2023-03-01,2024-11-01,2026-11-01,2027-08-01,1141.88,868.65,255.41,40.63,112,July 2026,FlashReport_July_2026.pdf
1091,4 Lane with PS from Des. Ch 136.100 to Des. Ch. 182.300 of Belgaum-Hungund- Raichur Section of NH-748A Package-4,NHAI,619107,Karnataka,2024-02-01,2025-09-01,2027-09-01,2028-04-01,1311.41,1123.35,227.73,15.0,112,July 2026,FlashReport_July_2026.pdf
1092,4 Lane with PS from Des. Ch 0.000 to Des. Ch. 43.800 of Belgaum-Hungund-Raichur Section of NH-748A Package-1,NHAI,619108,Karnataka,2024-02-01,2025-06-01,2027-06-01,2027-10-01,1452.43,1256.55,490.31,40.21,112,July 2026,FlashReport_July_2026.pdf
1093,Hassan km 184.912 to Maranahally km 230.060 of NH - 75 in Karnataka,NHAI,619117,Karnataka,2015-12-01,2017-03-01,2019-03-01,2026-08-01,1021.57,1091.4,1068.91,97.8,112,July 2026,FlashReport_July_2026.pdf
1094,Nidagatta-Mysore Pkg II,NHAI,619120,Karnataka,2018-02-01,2019-12-01,2022-06-01,2026-09-01,2919.8,4113.89,3715.84,99.19,112,July 2026,FlashReport_July_2026.pdf
1095,Yekkambi-Haveri,NHAI,619138,Karnataka,2021-09-01,2022-03-01,2024-03-01,2028-02-01,294.62,309.9,94.8,24.7,112,July 2026,FlashReport_July_2026.pdf
1096,BRT Tiger Reserve Boundary Km.287.500 to Bangalore Section Km.458.420 of NH- 209 in Karnataka,NHAI,619150,Karnataka,2016-04-01,2017-08-01,2019-08-01,2026-09-01,2082.69,2859.93,2242.71,99.7,112,July 2026,FlashReport_July_2026.pdf
1097,Belgaum-Khanapur Pkg I Km 0.000-Km 30.800 of NH-4A,NHAI,619164,Karnataka,2018-03-01,2019-03-01,2021-09-01,2027-03-01,1214.3,1195.74,917.82,75.72,112,July 2026,FlashReport_July_2026.pdf
1098,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 97.000 to Km. 162.500 in Yadgir of NH-150C Pkg-III,NHAI,619211,Karnataka,2022-03-01,2023-04-01,2025-10-01,2026-11-01,2104.7,2065.83,984.28,73.9,112,July 2026,FlashReport_July_2026.pdf
1099,4L of Channarayapatna Bypass and Hassan Bypass with structures in Devihalli - Hassan section,NHAI,619214,Karnataka,2020-04-01,2021-01-01,2023-01-01,2026-10-01,688.0,684.54,600.43,82.34,112,July 2026,FlashReport_July_2026.pdf
1100,4L Tumkur-Shimoga Pkg-I from Mallasandra to Karadi village of NH-206 from Km. 12.300 to Km. 65.195,NHAI,619218,Karnataka,2018-02-01,2019-10-01,2021-10-01,2026-08-01,1364.14,1692.12,1336.55,100.0,112,July 2026,FlashReport_July_2026.pdf
1101,4L of Tumkur-Shimoga Pkg-II from Km 65.195 Karadi to Km 121.900 Banawara of NH-206,NHAI,619219,Karnataka,2018-02-01,2019-10-01,2021-10-01,2026-12-01,1505.85,1989.89,1298.78,99.98,112,July 2026,FlashReport_July_2026.pdf
1102,Tumkur-Shimoga Pkg-III from Km 121.900 Banawara to Km 170.415 Bettadahalli of Old NH-206,NHAI,619220,Karnataka,2018-02-01,2021-03-01,2023-03-01,2026-12-01,1444.5,1834.81,872.97,98.0,112,July 2026,FlashReport_July_2026.pdf
1103,Widening to 2 Lanes with paved shoulders from Km.87/000 to 133/720 Nattukal to Thanau Jn. in Palakkad of NH-966 Old NH-213 on EPC mode Basis under NHO Annual Plan 2016-17 in the state of Kerala,MoRTH,618070,Kerala,2017-02-01,2017-08-01,2019-08-01,2026-06-01,294.28,315.63,0.0,98.0,112,July 2026,FlashReport_July_2026.pdf
1104,6L of Chengala - Neeleshwaram from km. 56.200 to km. 93.468,NHAI,618595,Kerala,2020-06-01,2021-10-01,2024-04-01,2027-03-01,1746.45,2538.06,1447.45,90.82,112,July 2026,FlashReport_July_2026.pdf
1105,6L of Taliparamba to Muzhappilangad from Km 134.650 to Km 170.6 of NH-66,NHAI,618596,Kerala,2020-08-01,2021-11-01,2024-05-01,2028-01-01,2714.6,3557.65,2020.35,83.7,112,July 2026,FlashReport_July_2026.pdf
1106,6L of Azhiyur-Vengalam from km. 189.200 to km. 230.400 of NH-66,NHAI,618597,Kerala,2020-10-01,2021-10-01,2024-07-01,2028-03-01,3205.77,3898.46,2406.73,60.07,112,July 2026,FlashReport_July_2026.pdf
1107,6L Minor Bridge Paloli Palam at km. 203.160 & Major Bridge Morad at km. 204.895 and allied works,NHAI,618598,Kerala,2020-03-01,2020-12-01,2022-06-01,2026-09-01,210.0,216.94,190.46,100.0,112,July 2026,FlashReport_July_2026.pdf
1108,6L of Ramanatukkara Junction to start of Valanchery bypass section of NH-66,NHAI,618599,Kerala,2021-01-01,2022-01-01,2024-07-01,2026-08-01,4919.46,4919.46,3765.27,100.0,113,July 2026,FlashReport_July_2026.pdf
1109,6L of Valanchery bypass to Kappirikkad of NH 66 from km. 298500 to km 335850,NHAI,618600,Kerala,2021-02-01,2022-01-01,2024-07-01,2026-08-01,4023.94,4023.94,2592.92,100.0,113,July 2026,FlashReport_July_2026.pdf
1110,6L of Kappirikkad to Thalikulam section from km 335.85 to km 369.015 of NH - 66 old NH-17,NHAI,618601,Kerala,2021-06-01,2022-09-01,2025-01-01,2027-06-01,4225.59,4225.59,3345.3,95.27,113,July 2026,FlashReport_July_2026.pdf
1111,6L of Thalikulam to Kodugallur section from km 369.015 to km 397.850 of NH - 66 old NH-17,NHAI,618602,Kerala,2021-06-01,2022-09-01,2025-02-01,2027-06-01,4302.06,4302.06,3312.68,95.05,113,July 2026,FlashReport_July_2026.pdf
1112,6L of Kodugallur to Edapppally section from km 397.750 to km 423.780 of NH - 66 old NH-17,NHAI,618603,Kerala,2021-11-01,2022-10-01,2025-04-01,2027-05-01,3465.82,3606.2,2178.55,71.11,113,July 2026,FlashReport_July_2026.pdf
1113,Aroor-Thuravoor Thekku,NHAI,618604,Kerala,2022-08-01,2023-02-01,2026-01-01,2026-12-01,2429.52,2382.83,1802.58,91.63,113,July 2026,FlashReport_July_2026.pdf
1114,Thuravoor Thekku-Paravoor,NHAI,618605,Kerala,2021-09-01,2022-03-01,2024-09-01,2027-05-01,2878.97,2638.67,2514.83,81.49,113,July 2026,FlashReport_July_2026.pdf
1115,Paravoor-Kottankulangara,NHAI,618606,Kerala,2021-12-01,2022-08-01,2025-02-01,2027-03-01,3273.61,3200.24,2858.55,71.2,113,July 2026,FlashReport_July_2026.pdf
1116,Kottankulangara- Start of Kollam Bypass,NHAI,618607,Kerala,2021-06-01,2022-04-01,2024-10-01,2027-03-01,2842.14,3680.49,2373.2,73.89,113,July 2026,FlashReport_July_2026.pdf
1117,Widening/Development of Existing NH-85 from Km 0.000 to Km 124.636 section to 2L/LPS section in the state of Kerala on EPC Mode under Bharatmala Pariyojana,NHAI,618708,Kerala,2022-09-01,2023-06-01,2025-06-01,2027-03-01,1187.47,1265.47,782.54,81.98,113,July 2026,FlashReport_July_2026.pdf
1118,Kozhikode Bypass Calicut Bypass Vengalam Jn. to Ramanattukara Jn.,NHAI,619098,Kerala,2018-02-01,2021-02-01,2023-02-01,2026-08-01,1424.77,2139.18,1066.67,98.75,113,July 2026,FlashReport_July_2026.pdf
1119,6L of Perole Nileshwar town to Taliparamba from Km 94.248 to Km 134.650 of NH-66,NHAI,619206,Kerala,2020-06-01,2021-10-01,2024-01-01,2027-03-01,3041.65,3867.66,2526.45,86.65,113,July 2026,FlashReport_July_2026.pdf
1120,Start of Kollam Bypass - Kadambattukonam,NHAI,619207,Kerala,2021-06-01,2022-10-01,2025-03-01,2027-06-01,2641.37,3309.06,1990.71,81.8,113,July 2026,FlashReport_July_2026.pdf
1121,Kadambattukonam-Kazhakuttom,NHAI,619208,Kerala,2021-12-01,2022-07-01,2025-01-01,2027-05-01,3635.64,3526.33,2124.13,44.34,113,July 2026,FlashReport_July_2026.pdf
1122,Kargil Zanskar Road,NHIDCL,618408,Ladakh,2021-03-01,2021-07-01,2023-01-01,2026-08-01,398.37,398.37,337.19,97.1,113,July 2026,FlashReport_July_2026.pdf
1123,Widening & Up-gradation to 2 lane with Paved shoulder of NH-301 Kargil- Zanskar Road from Design km 57.000 Ex. Km. 57.905 to Km 87.000 Ex. Km. 88.2491 of 30.000 Km length Pkg-lll,NHIDCL,618409,Ladakh,2021-03-01,2021-07-01,2023-01-01,2026-08-01,381.01,381.01,313.34,91.01,113,July 2026,FlashReport_July_2026.pdf
1124,Widening & Up-gradation to 2 lane with paved shoulder of NH-301 Kargil- Zanskar Road from Design Km .30.040 Ex. Km. 30.000 to Design Km 57.000 Ex. Km. 57.905 of 26.960 Km length Pkg-II,NHIDCL,618410,Ladakh,2021-03-01,2021-07-01,2023-01-01,2026-10-01,404.89,404.89,360.06,84.94,113,July 2026,FlashReport_July_2026.pdf
1125,Construction of Rewa Bypass to 4-lane with paved shoulder along with service road from Ratahara Chowk to Chorhata Chowk Road section of NH-30 from km 00.000 to 19.200 in the State of Madhya Pradesh on Hybrid Annuity Mode HAM.,MoRTH,617909,Madhya Pradesh,2024-03-01,2025-02-01,2027-02-01,2027-02-01,648.05,648.05,0.0,50.0,113,July 2026,FlashReport_July_2026.pdf
1126,Rehabilitation and upgradation Umaria to Shahdol section of NH-78 from Existing Km. 68/4 to Km. 142/2 to 2LPS including construction of Birshinghpur and Shahdol Bypass on EPC mode under NHDP-IVA,MoRTH,617911,Madhya Pradesh,2015-03-01,2015-08-01,2017-07-01,2026-08-01,511.83,613.16,0.0,94.5,113,July 2026,FlashReport_July_2026.pdf
1127,Upgradation and reconstruction of Shahpura-Dindori Section of NH 45 from Km 103.700 Design to Km 164.580 Design including 3 bypasses Total length 60.88km to Two lane with paved shoulder configuration along with One time improvement in 03 nos of bypassed built-up areas in a total length of 12.341 km in the State of Madhya Pradesh on EPC mode,MoRTH,617914,Madhya Pradesh,2022-03-01,2024-01-01,2025-12-01,2027-06-01,241.23,250.09,50.78,41.25,114,July 2026,FlashReport_July_2026.pdf
1128,Upgradation & widening of Jharkheda- Berasia - Dholkhedi from design km 0000 to km 87900 Design length 87.90km of NH-346 including 3 nos. bypasses of 13.10 Km in the State of Madhya Pradesh under EPC mode.,MoRTH,618019,Madhya Pradesh,2022-03-01,2023-05-01,2025-05-01,2026-09-01,365.21,365.21,200.67,91.0,114,July 2026,FlashReport_July_2026.pdf
1129,"Rehabilitation & Upgradation of KurwaiMungaoliChanderi Road section of NH-346, from Design Chainge 0.000 to 81.300 Km Total length 83.1 km to Two lane with paved shoulder configuration along with One time improvement in 07 nos of bypassed built- up areas in a total length of 22.615 km in the state of Madhya Pradesh on EPC mode.",MoRTH,618020,Madhya Pradesh,2022-03-01,2023-02-01,2025-02-01,2026-12-01,386.49,386.49,164.84,67.57,114,July 2026,FlashReport_July_2026.pdf
1130,Up-gradation of Pichhore- Dinara section of NH-346 from Km 292.750 to 334.550 to two lane with paved shoulders in the state of Madhya Pradesh on EPC mode,MoRTH,618021,Madhya Pradesh,2024-02-01,2025-12-01,2027-06-01,2027-06-01,425.97,425.97,0.0,36.85,114,July 2026,FlashReport_July_2026.pdf
1131,Rehabilitation & Upgradation of existing intermediate lane to two Lane with paved shoulder from km. 0.600 Gulganj bypass on NH-34 to km. 43.00 Barna River length 42.400 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. in the state of Madhya Pradesh on EPCmode.,MoRTH,618035,Madhya Pradesh,2023-03-01,2024-11-01,2026-05-01,2026-12-01,275.4,275.4,0.0,60.14,114,July 2026,FlashReport_July_2026.pdf
1132,Upgradation and reconstruction of existing intermediate lane to two Lane with paved shoulder configuration from km. 43.00 Barna River to km. 77.00 ken river length 34.00 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. along with One time improvement in 01 no. of bypassed built-up area in a total length of 1.585 km in the state of Madhya Pradesh on EPCmode.,MoRTH,618036,Madhya Pradesh,2023-03-01,2024-11-01,2026-11-01,2027-03-01,315.55,315.55,0.0,43.0,114,July 2026,FlashReport_July_2026.pdf
1133,Upgradation and reconstruction of Dindori - Mandla Section of NH 543 from Km 77100 Design to Km 170580 Design Total length 93.48km to Two lane with paved shoulder configuration along with One time improvement in 04 nos of bypassed built-up areas in a total length of 7.23 km in the state of Madhya Pradesh on EPC mode,MoRTH,618043,Madhya Pradesh,2022-03-01,2024-01-01,2026-07-01,2026-09-01,492.12,523.71,0.0,88.0,114,July 2026,FlashReport_July_2026.pdf
1134,Upgradation of Shahdol- Sagartola Section of NH 543 from km 0000 to km 69400 to 2 lane with paved shoulders under Hybrid Annuity Mode HAM in the State of Madhya Pradesh,MoRTH,618044,Madhya Pradesh,2024-02-01,2026-03-01,2028-03-01,,851.4,851.4,0.0,0.0,114,July 2026,FlashReport_July_2026.pdf
1135,"Construction of Kaithi-Padaria Kala bypass, Patna-Tamoli bypass, Jaso bypass and Nagod bypass total length 15.44 Km to 2-lane with paved shoulders flexible pavement on NH-943 in the State of Madhya Pradesh on EPC Mode.",MoRTH,618068,Madhya Pradesh,2022-03-01,2023-10-01,2025-10-01,2026-12-01,158.36,158.36,36.36,62.8,114,July 2026,FlashReport_July_2026.pdf
1136,Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.,MoRTH,618085,Madhya Pradesh,2021-12-01,2023-04-01,2024-10-01,2026-10-01,305.12,293.74,0.0,92.33,114,July 2026,FlashReport_July_2026.pdf
1137,"Construction of Kasrawad bypass, Selani bypass, Khargone bypass & Bistan bypass Total length. 31.950 km Section of NH-347 C to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.",MoRTH,618129,Madhya Pradesh,2023-03-01,2024-12-01,2026-12-01,2026-12-01,467.93,467.93,167.65,99.15,114,July 2026,FlashReport_July_2026.pdf
1138,"Construction of Morena bypass, Ambah bypass & Porsa bypass Totat length 27.16 km Section of NH-552 Ext. to TWo lane with paved shoulder configuration in the state of Madhya Pradesh on EPC mode",MoRTH,618156,Madhya Pradesh,2023-02-01,2024-10-01,2026-10-01,2026-10-01,492.66,492.66,0.0,73.5,114,July 2026,FlashReport_July_2026.pdf
1139,Construction of Ater realignment & Bhind bypass Total length. 21.50 km Section of NH-552Extn. to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.,MoRTH,618157,Madhya Pradesh,2023-03-01,2024-12-01,2026-06-01,2026-12-01,348.06,348.06,79.84,79.0,114,July 2026,FlashReport_July_2026.pdf
1140,"Upgradation of Goras to Shyampur Road section of NH-552 Ext., from Design Chainge 48.400 to 111.800 Km Total length 63.40 km to two lane with paved shoulder configuration along with One time improvement of 8.91 km in the state of Madhya Pradesh on EPC mode",MoRTH,618158,Madhya Pradesh,2023-03-01,2024-12-01,2026-12-01,2026-12-01,416.96,416.96,0.0,16.52,114,July 2026,FlashReport_July_2026.pdf
1141,Construction of Two lane with paved shoulder configuration of Shujalpur Bypass section of NH-752C from km 33100 Design to km. 42570 Design total design length 10.470 km in the State of Madhya Pradesh on EPC mode.,MoRTH,618170,Madhya Pradesh,2023-03-01,2024-03-01,2025-09-01,2026-12-01,214.07,214.07,38.07,46.33,114,July 2026,FlashReport_July_2026.pdf
1142,"Work of Upgradation of Jirapur-Pachore Road including Pachore, Jirapur, Chhapiheda & Khujner Bypasses from 0000 to 58790 Design Length 58.79 Km section of NH-752C to 2LPS in the State of Madhya Pradesh under EPC mode",MoRTH,618171,Madhya Pradesh,2022-03-01,2024-01-01,2026-01-01,2026-12-01,352.69,352.69,98.96,57.26,115,July 2026,FlashReport_July_2026.pdf
1143,Bypass on Western side of Gwalior City,NHAI,618619,Madhya Pradesh,2025-03-01,2026-01-01,2028-01-01,2028-01-01,998.95,998.95,195.31,0.0,115,July 2026,FlashReport_July_2026.pdf
1144,"Additional works 2VUPs, MR-10 junction flyover and underpass in Six lane Indore- Dewas section of NH-52 in the state of Madhya Pradesh on EPC Mode",NHAI,618620,Madhya Pradesh,2022-08-01,2023-01-01,2024-07-01,2027-03-01,207.77,211.27,150.59,79.72,115,July 2026,FlashReport_July_2026.pdf
1145,Indore - Edlabad Pkg-II [Tejajinagar to Balwara],NHAI,618621,Madhya Pradesh,2022-03-01,2023-01-01,2025-01-01,2026-10-01,1162.8,1530.82,824.5,87.3,115,July 2026,FlashReport_July_2026.pdf
1146,4L of Indore - Boregaon Pkg-III [Balwara to Dhangaon] from km. 42.260 to km. 82.660 of NH347BG & 753L,NHAI,618622,Madhya Pradesh,2021-01-01,2022-04-01,2024-04-01,2026-10-01,1001.69,888.81,835.15,92.5,115,July 2026,FlashReport_July_2026.pdf
1147,4L Boregaon Buzurg to Shahpur Pkg I of Boregaon Buzurg to Muktainagar of NH 753L,NHAI,618623,Madhya Pradesh,2022-11-01,2024-02-01,2026-01-01,2026-10-01,1504.37,1132.34,556.86,90.1,115,July 2026,FlashReport_July_2026.pdf
1148,4L Greenfield Rudhi to Deshgaon Pkg V of Betul-Khandwa/Deshgaon,NHAI,618654,Madhya Pradesh,2022-11-01,2023-10-01,2025-10-01,2027-08-01,521.21,469.68,199.48,63.79,115,July 2026,FlashReport_July_2026.pdf
1149,2L PS of Roshni to Ashapur Section of NH-347B from Design KM Ch. 89.900 to 114.000 KM Package III of Betul Khandwa,NHAI,618655,Madhya Pradesh,2024-03-01,2024-08-01,2026-08-01,2026-08-01,200.99,120.75,126.72,98.85,115,July 2026,FlashReport_July_2026.pdf
1150,4L from km 0.000 to 42.040 Bhopal Ratnaigiri Tiraha to Vidisha Morikodi,NHAI,618661,Madhya Pradesh,2024-10-01,2025-11-01,2027-11-01,2027-11-01,1032.3,1038.18,179.87,20.23,115,July 2026,FlashReport_July_2026.pdf
1151,4L Vidisha Gyaraspur section of NH-146 from Design Chainage km 59475 existing chainage km 81240 to Design Chainage km 88361 existing chainage km 110.315,NHAI,618662,Madhya Pradesh,2024-10-01,2026-03-01,2028-03-01,2028-03-01,980.2,980.2,113.09,12.25,115,July 2026,FlashReport_July_2026.pdf
1152,i 4L Vidisha to Hinotiya from km 0.000 to Km 27.000 Vidisha Mehulwa-Talbehat Pkg- I Section of NH- 346 and ii 4L Vidisha to Morikori from Km 39.000 to 59.476 section of NH-146,NHAI,618663,Madhya Pradesh,2022-09-01,2023-12-01,2025-12-01,2026-12-01,1003.87,941.12,434.04,90.04,115,July 2026,FlashReport_July_2026.pdf
1153,Berkhedi to Godpehra on NH-44 Sagar link road,NHAI,618664,Madhya Pradesh,2022-02-01,2022-11-01,2024-11-01,2026-12-01,524.84,471.31,385.98,93.05,115,July 2026,FlashReport_July_2026.pdf
